SL,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
1,Mcdonalds,Artisan Grilled Chicken Sandwich,380,60.0,7.0,2.0,1.315934065934066,95.0,1110,44.0,3.0,11.0,37.0,4.0,20.0,20.0,Other
2,Mcdonalds,Single Bacon Smokehouse Burger,840,410.0,45.0,17.0,1.5,130.0,1580,62.0,2.0,18.0,46.0,6.0,20.0,20.0,Other
3,Mcdonalds,Double Bacon Smokehouse Burger,1130,600.0,67.0,27.0,3.0,220.0,1920,63.0,3.0,18.0,70.0,10.0,20.0,50.0,Other
4,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280.0,31.0,10.0,0.5,155.0,1940,62.0,2.0,18.0,55.0,6.0,25.0,20.0,Other
5,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410.0,45.0,12.0,0.5,120.0,1980,81.0,4.0,18.0,46.0,6.0,20.0,20.0,Other
6,Mcdonalds,Big Mac,540,250.0,28.0,10.0,1.0,80.0,950,46.0,3.0,9.0,25.0,10.0,2.0,15.0,Other
7,Mcdonalds,Cheeseburger,300,100.0,12.0,5.0,0.5,40.0,680,33.0,2.0,7.0,15.0,10.0,2.0,10.0,Other
8,Mcdonalds,Classic Chicken Sandwich,510,210.0,24.0,4.0,1.315934065934066,65.0,1040,49.0,3.0,6.0,25.0,20.232142857142858,4.0,2.0,Other
9,Mcdonalds,Double Cheeseburger,430,190.0,21.0,11.0,1.0,85.0,1040,35.0,2.0,7.0,25.0,20.0,4.0,15.0,Other
10,Mcdonalds,Double Quarter Pounder® with Cheese,770,400.0,45.0,21.0,2.5,175.0,1290,42.0,3.0,10.0,51.0,20.0,6.0,20.0,Other
11,Mcdonalds,Filet-O-Fish®,380,170.0,18.0,4.0,1.315934065934066,40.0,640,38.0,2.0,5.0,15.0,2.0,21.37408082034676,15.0,Other
12,Mcdonalds,Garlic White Cheddar Burger,620,300.0,34.0,13.0,1.5,95.0,790,48.0,3.0,11.0,32.0,10.0,10.0,35.0,Other
13,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180.0,20.0,7.0,1.315934065934066,125.0,1150,48.0,3.0,11.0,42.0,10.0,20.0,35.0,Other
14,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300.0,34.0,9.0,1.315934065934066,85.0,1190,67.0,5.0,11.0,33.0,10.0,15.0,35.0,Other
15,Mcdonalds,Hamburger,250,70.0,8.0,3.0,1.315934065934066,30.0,480,31.0,2.0,6.0,13.0,2.0,2.0,4.0,Other
16,Mcdonalds,Lobster Roll,290,50.0,5.0,1.5,1.315934065934066,65.0,630,35.0,2.0,3.0,24.0,4.0,6.0,15.0,Other
17,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330.0,36.0,14.0,1.5,110.0,1260,40.0,3.0,10.0,37.0,6.0,15.0,15.0,Other
18,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190.0,21.0,8.0,1.315934065934066,135.0,1890,50.0,3.0,14.0,48.0,4.0,30.0,30.0,Other
19,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310.0,35.0,9.0,0.5,95.0,1780,69.0,5.0,14.0,39.0,4.0,20.0,290.0,Other
20,Mcdonalds,McChicken,350,130.0,15.0,3.5,1.315934065934066,40.0,600,40.0,2.0,5.0,15.0,2.0,2.0,4.0,Other
21,Mcdonalds,McDouble,380,160.0,18.0,8.0,1.0,70.0,840,34.0,2.0,7.0,23.0,10.0,2.0,10.0,Other
22,Mcdonalds,McRib,480,200.0,22.0,7.0,1.315934065934066,80.0,870,45.0,2.0,12.0,25.0,2.0,2.0,6.0,Other
23,Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300.0,33.0,12.0,1.5,95.0,920,41.0,4.0,7.0,29.0,8.0,15.0,15.0,Other
24,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160.0,18.0,6.0,1.315934065934066,115.0,1540,50.0,4.0,12.0,40.0,8.0,25.0,30.0,Other
25,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280.0,32.0,7.0,1.315934065934066,80.0,1430,69.0,6.0,12.0,31.0,8.0,15.0,30.0,Other
26,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200.0,23.0,5.0,1.315934065934066,60.0,1050,64.0,4.0,11.0,28.0,4.0,10.0,20.0,Other
27,Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200.0,22.0,4.0,1.315934065934066,45.0,1000,59.0,3.0,13.0,25.0,6.0,10.0,20.0,Other
28,Mcdonalds,Quarter Pounder® with Cheese,530,240.0,27.0,13.0,1.5,100.0,1090,41.0,3.0,10.0,31.0,20.0,6.0,15.0,Other
29,Mcdonalds,Signature Sriracha Burger,670,320.0,35.0,12.0,1.5,95.0,1010,56.0,4.0,13.0,32.0,20.0,15.0,30.0,Other
30,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,180.0,20.0,5.0,1.315934065934066,115.0,1550,56.0,4.0,14.0,41.0,20.0,25.0,30.0,Other
31,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,300.0,33.0,7.0,1.315934065934066,80.0,1430,75.0,5.0,13.0,32.0,20.0,20.0,30.0,Other
32,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,340.0,37.0,14.0,1.5,110.0,1310,51.0,3.0,14.0,38.0,6.0,15.0,15.0,Other
33,Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,200.0,22.0,7.0,1.315934065934066,135.0,1930,61.0,4.0,18.0,48.0,4.0,30.0,25.0,Other
34,Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,320.0,36.0,9.0,0.5,95.0,1820,80.0,5.0,18.0,39.0,4.0,20.0,30.0,Other
35,Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,190.0,21.0,3.5,1.315934065934066,70.0,910,16.0,4.238289205702648,7.6482617586912065,28.0,20.232142857142858,21.37408082034676,2.0,Other
36,Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,250.0,28.0,4.5,1.315934065934066,95.0,1290,21.0,4.238289205702648,1.0,38.0,20.232142857142858,21.37408082034676,2.0,Other
37,Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,390.0,44.0,8.0,0.5,145.0,1890,32.0,1.0,1.0,58.0,20.232142857142858,21.37408082034676,2.0,Other
38,Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,630.0,70.0,12.0,1.0,240.0,3230,52.0,1.0,4.0,94.0,20.232142857142858,21.37408082034676,4.0,Other
39,Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,790.0,88.0,15.0,1.0,295.0,3770,64.0,1.0,2.0,115.0,20.232142857142858,2.0,6.0,Other
40,Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,1270.0,141.0,24.0,2.0,475.0,6080,103.0,2.0,3.0,186.0,20.232142857142858,2.0,8.0,Other
41,Mcdonalds,4 Piece Chicken McNuggets,180,100.0,11.0,2.0,1.315934065934066,30.0,340,11.0,1.0,7.6482617586912065,10.0,20.232142857142858,2.0,25.096110575377693,Other
42,Mcdonalds,6 Piece Chicken McNuggets,270,140.0,16.0,2.5,1.315934065934066,45.0,510,16.0,1.0,7.6482617586912065,15.0,20.232142857142858,2.0,25.096110575377693,Other
43,Mcdonalds,10 Piece Chicken McNuggets,440,240.0,27.0,4.5,1.315934065934066,75.0,840,26.0,2.0,7.6482617586912065,24.0,20.232142857142858,4.0,2.0,Other
44,Mcdonalds,20 Piece Chicken McNuggets,890,480.0,53.0,9.0,1.315934065934066,145.0,1680,53.0,4.0,7.6482617586912065,49.0,20.232142857142858,8.0,4.0,Other
45,Mcdonalds,40 piece Chicken McNuggets,1770,960.0,107.0,18.0,0.5,295.0,3370,105.0,7.0,1.0,98.0,20.232142857142858,15.0,6.0,Other
46,Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,240.0,27.0,4.0,1.315934065934066,105.0,1780,63.0,2.0,35.0,39.0,4.0,15.0,4.0,Other
47,Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,360.0,40.0,6.0,1.315934065934066,160.0,2670,94.0,3.0,52.0,58.0,4.0,25.0,8.0,Other
48,Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,600.0,66.0,10.0,1.315934065934066,265.0,4450,156.0,5.0,87.0,97.0,8.0,40.0,10.0,Other
49,Mcdonalds,Premium Asian Salad w/o Chicken,140,70.0,7.0,0.5,1.315934065934066,74.18489065606362,20,13.0,5.0,7.0,7.0,180.0,45.0,10.0,Other
50,Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,80.0,9.0,1.0,1.315934065934066,80.0,740,18.0,5.0,10.0,31.0,180.0,70.0,10.0,Other
51,Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,250.0,28.0,8.0,1.315934065934066,95.0,1120,28.0,4.0,4.0,33.0,180.0,60.0,15.0,Other
52,Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,110.0,12.0,5.0,1.315934065934066,40.0,660,9.0,3.0,3.0,14.0,180.0,50.0,15.0,Other
53,Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,120.0,14.0,6.0,1.315934065934066,45.0,1230,9.0,3.0,4.0,42.0,180.0,60.0,15.0,Other
54,Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,250.0,28.0,8.0,1.315934065934066,95.0,1120,28.0,4.0,4.0,33.0,180.0,60.0,15.0,Other
55,Mcdonalds,Premium Southwest Salad w/o Chicken,220,90.0,10.0,3.5,1.315934065934066,15.0,500,26.0,6.0,9.0,8.0,180.0,40.0,20.0,Other
56,Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,100.0,12.0,4.5,1.315934065934066,110.0,1070,27.0,6.0,9.0,37.0,180.0,50.0,20.0,Other
57,Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,230.0,25.0,6.0,1.315934065934066,75.0,960,46.0,8.0,9.0,28.0,180.0,40.0,20.0,Other
58,Chick Fil-A,Chargrilled Chicken Club Sandwich,430,144.0,16.0,8.0,1.315934065934066,85.0,1120,37.0,3.0,7.0,37.0,30.0,40.0,25.0,Other
59,Chick Fil-A,Chargrilled Chicken Sandwich,310,54.0,6.0,2.0,1.315934065934066,55.0,820,36.0,3.0,7.0,29.0,25.0,40.0,10.0,Other
60,Chick Fil-A,Chick-n-Slider,270,99.0,11.0,2.5,1.315934065934066,45.0,800,26.0,1.0,4.0,16.0,18.857142857142858,21.37408082034676,2.0,Other
61,Chick Fil-A,1 Piece Chick-n-Strips,120,54.0,6.0,3.0,1.315934065934066,25.0,320,6.0,4.238289205702648,1.0,11.0,20.232142857142858,21.37408082034676,2.0,Other
62,Chick Fil-A,2 Piece Chick-n-Strips,230,108.0,12.0,3.0,1.315934065934066,55.0,630,13.0,1.0,1.0,22.0,20.232142857142858,2.0,4.0,Other
63,Chick Fil-A,3 Piece Chick-n-Strips,350,153.0,17.0,3.0,1.315934065934066,70.0,940,22.0,1.0,3.0,28.0,2.0,2.0,6.0,Other
64,Chick Fil-A,4 piece Chick-n-Strips,470,207.0,23.0,3.0,1.315934065934066,90.0,1250,29.0,1.0,4.0,37.0,2.0,4.0,8.0,Other
65,Chick Fil-A,Chicken Deluxe,500,207.0,23.0,7.0,1.315934065934066,75.0,1590,42.0,3.0,6.0,31.0,30.0,10.0,20.0,Other
66,Chick Fil-A,4 piece Chicken Nuggets,130,54.0,6.0,1.5,1.315934065934066,40.0,490,5.0,1.0,7.6482617586912065,14.0,20.232142857142858,2.0,2.0,Other
67,Chick Fil-A,6 piece Chicken Nuggets,190,81.0,9.0,1.5,1.315934065934066,55.0,730,7.0,1.0,7.6482617586912065,21.0,20.232142857142858,4.0,2.0,Other
68,Chick Fil-A,8 piece Chicken Nuggets,260,110.0,12.0,3.0,1.315934065934066,70.0,990,9.0,1.0,1.0,28.0,20.232142857142858,2.0,4.0,Other
69,Chick Fil-A,12 piece Chicken Nuggets,390,162.0,18.0,1.5,1.315934065934066,115.0,1460,14.0,2.0,1.0,41.0,20.232142857142858,8.0,4.0,Other
70,Chick Fil-A,30 piece Chicken Nuggets,970,414.0,46.0,2.5,1.315934065934066,285.0,3660,35.0,4.0,1.0,103.0,18.857142857142858,20.0,10.0,Other
71,Chick Fil-A,Chicken Salad Sandwich,490,170.0,19.0,3.0,1.315934065934066,80.0,1130,55.0,5.0,12.0,28.0,35.0,8.0,15.0,Other
72,Chick Fil-A,Chicken Sandwich,440,171.0,19.0,4.0,1.315934065934066,60.0,1350,40.0,2.0,5.0,28.0,2.0,4.0,15.0,Other
73,Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,18.0,2.0,1.0,1.315934065934066,35.0,220,1.0,4.238289205702648,7.6482617586912065,13.0,20.232142857142858,6.0,25.096110575377693,Other
74,Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,27.0,3.0,1.0,1.315934065934066,50.0,330,2.0,4.238289205702648,7.6482617586912065,19.0,20.232142857142858,8.0,25.096110575377693,Other
75,Chick Fil-A,8 piece Grilled Chicken Nuggets,140,36.0,4.0,1.0,1.315934065934066,70.0,440,2.0,4.238289205702648,7.6482617586912065,25.0,20.232142857142858,10.0,2.0,Other
76,Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,45.0,5.0,1.0,1.315934065934066,100.0,670,3.0,4.238289205702648,1.0,38.0,20.232142857142858,20.0,2.0,Other
77,Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,108.0,12.0,4.5,1.315934065934066,85.0,1310,47.0,5.0,9.0,33.0,18.857142857142858,25.0,25.0,Other
78,Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,117.0,13.0,6.0,1.315934065934066,75.0,1000,48.0,4.0,10.0,34.0,18.857142857142858,50.0,25.0,Other
79,Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,162.0,18.0,8.233333333333333,1.315934065934066,95.0,1200,46.0,2.0,10.0,33.0,45.0,40.0,20.0,Other
80,Chick Fil-A,Spicy Chicken Sandwich,450,171.0,19.0,4.0,1.315934065934066,60.0,1620,41.0,1.0,5.0,29.0,4.0,2.0,15.0,Other
81,Chick Fil-A,Spicy Deluxe,540,225.0,25.0,8.0,1.315934065934066,80.0,1760,43.0,2.0,6.0,34.0,30.0,10.0,30.0,Other
82,Chick Fil-A,Chargrilled Chicken Cool Wrap,350,126.0,14.0,5.0,1.315934065934066,60.0,960,29.0,15.0,3.0,37.0,60.0,35.0,35.0,Other
83,Chick Fil-A,Chicken Enchiladas Meal Kit,860,423.0,47.0,16.0,1.0,100.0,2520,70.0,,8.0,39.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
84,Chick Fil-A,Chicken Parmesan Meal Kit,720,279.0,31.0,15.0,1.315934065934066,120.0,1780,65.0,,7.0,48.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
85,Sonic,Hatch Green Chile Cheeseburger,710,380.0,43.0,17.0,2.0,120.0,1120,44.0,2.0,7.0,35.0,10.0,25.0,30.0,Other
86,Sonic,Jalapeno Burger,640,330.0,37.0,14.0,2.0,100.0,930,42.0,2.0,6.0,31.0,4.0,2.0,20.0,Other
87,Sonic,Jr. Burger,340,150.0,17.0,6.0,1.0,35.0,640,34.0,1.0,6.0,15.0,2.0,4.0,6.0,Other
88,Sonic,Jr. Chili Cheeseburger,410,220.0,24.0,9.0,0.5,55.0,730,32.0,1.0,4.0,20.0,7.0,1.0,15.0,Other
89,Sonic,Jr. Deluxe Burger,380,200.0,23.0,6.0,1.0,40.0,470,32.0,1.0,4.0,15.0,2.0,4.0,6.0,Other
90,Sonic,Jr. Deluxe Cheeseburger,450,250.0,28.0,9.0,1.0,60.0,800,33.0,1.0,4.0,19.0,6.0,4.0,15.0,Other
91,Sonic,Jr. Double Cheeseburger,600,350.0,38.0,16.0,2.0,110.0,1350,35.0,1.0,7.0,31.0,15.0,4.0,25.0,Other
92,Sonic,Sonic Bacon Cheeseburger (w/mayo),870,530.0,59.0,20.0,2.0,140.0,1350,45.0,2.0,7.0,39.0,10.0,8.0,30.0,Other
93,Sonic,Sonic Burger W/ Mustard,640,330.0,37.0,14.0,2.0,100.0,790,43.0,2.0,7.0,31.0,6.0,8.0,20.0,Other
94,Sonic,Sonic Burger W/ Ketchup,650,340.0,37.0,14.0,2.0,100.0,860,46.0,2.0,10.0,32.0,8.0,10.0,20.0,Other
95,Sonic,Sonic Burger W/ Mayonnaise,740,430.0,48.0,15.0,2.0,110.0,760,44.0,2.0,7.0,31.0,6.0,8.0,20.0,Other
96,Sonic,Sonic Cheeseburger W/ Mustard,710,380.0,43.0,17.0,2.0,120.0,1120,43.0,2.0,7.0,35.0,10.0,8.0,30.0,Other
97,Sonic,Sonic Cheeseburger W/ Ketchup,720,380.0,43.0,17.0,2.0,120.0,1190,47.0,2.0,10.0,35.0,15.0,10.0,30.0,Other
98,Sonic,Sonic Cheeseburger W/ Mayonnaise,800,480.0,54.0,18.0,2.0,130.0,1090,44.0,2.0,7.0,35.0,10.0,8.0,30.0,Other
99,Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,830.0,92.0,36.0,4.0,260.0,1630,44.0,2.0,7.0,67.0,15.0,6.0,40.0,Other
100,Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,680.0,76.0,32.0,4.0,235.0,1550,44.0,2.0,8.0,63.0,15.0,8.0,40.0,Other
101,Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,680.0,76.0,32.0,4.0,235.0,1620,47.0,2.0,11.0,63.0,20.0,10.0,40.0,Other
102,Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,780.0,87.0,34.0,4.0,245.0,1520,45.0,2.0,8.0,63.0,15.0,8.0,40.0,Other
103,Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,680.0,76.0,32.0,4.0,235.0,1690,43.0,2.0,7.0,63.0,15.0,2.0,40.0,Other
104,Sonic,Veggie Burger W/ Ketchup,450,130.0,14.0,4.0,1.315934065934066,10.0,1410,67.0,5.0,11.0,15.0,6.0,8.0,25.0,Other
105,Sonic,Veggie Burger With Mustard,450,130.0,14.0,4.0,1.315934065934066,10.0,1350,64.0,5.0,8.0,15.0,6.0,8.0,27.0,Other
106,Sonic,Veggie Burger W/ Mustard,450,130.0,14.0,4.0,1.315934065934066,10.0,1300,64.0,5.0,8.0,15.0,6.0,8.0,25.0,Other
107,Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,270.0,30.0,7.0,1.315934065934066,110.0,1570,44.0,3.0,8.0,40.0,11.0,20.0,16.0,Other
108,Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,350.0,39.0,9.0,1.315934065934066,80.0,1120,53.0,4.0,7.0,31.0,11.0,7.0,16.0,Other
109,Sonic,Grilled Chicken Sandwich,430,180.0,20.0,4.0,1.315934065934066,80.0,940,33.0,2.0,6.0,28.0,6.0,8.0,10.0,Other
110,Sonic,Crispy Chicken Sandwich,570,300.0,33.0,5.0,1.315934065934066,45.0,1060,47.0,4.0,6.0,23.0,6.0,8.0,10.0,Other
111,Sonic,Chicken Strip Sandwich,450,220.0,24.0,4.0,1.315934065934066,35.0,740,43.0,1.0,4.0,19.0,20.232142857142858,21.37408082034676,4.0,Other
112,Sonic,3 Piece Crispy Chicken Tender Dinner,280,130.0,14.0,2.5,1.315934065934066,74.18489065606362,800,16.0,4.238289205702648,7.6482617586912065,22.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
113,Sonic,5 Piece Crispy Chicken Tender Dinner,470,220.0,24.0,4.5,1.315934065934066,74.18489065606362,1340,26.0,4.238289205702648,7.6482617586912065,37.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
114,Sonic,Deluxe Ultimate Chicken Sandwich,740,350.0,39.0,8.0,1.315934065934066,90.0,1550,63.0,4.0,12.0,33.0,10.0,8.0,15.0,Other
115,Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,550.0,61.0,12.0,0.5,125.0,4520,70.0,5.0,12.0,23.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
116,Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,900.0,100.0,17.0,1.315934065934066,190.0,2180,69.0,4.0,10.0,23.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
117,Sonic,Small Jumbo Popcorn Chicken,380,190.0,22.0,4.0,1.315934065934066,45.0,1250,27.0,3.0,1.0,18.0,20.232142857142858,21.37408082034676,2.0,Other
118,Sonic,Large Jumbo Popcorn Chicken,560,290.0,32.0,6.0,1.0,65.0,1890,41.0,5.0,2.0,27.0,20.232142857142858,21.37408082034676,4.0,Other
119,Sonic,Small Spicy Jumbo Popcorn Chicken,350,150.0,17.0,3.0,1.315934065934066,45.0,860,30.0,2.0,7.6482617586912065,21.0,10.0,21.37408082034676,2.0,Other
120,Sonic,Large Spicy Jumbo Popcorn Chicken,610,270.0,30.0,5.0,1.315934065934066,80.0,1500,51.0,3.0,7.6482617586912065,36.0,17.0,21.37408082034676,3.0,Other
121,Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,410.0,46.0,8.0,1.0,55.0,2160,109.0,7.0,9.0,30.0,1.0,6.0,13.0,Other
122,Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,460.0,51.0,9.0,1.0,75.0,2390,118.0,8.0,9.0,37.0,1.0,7.0,13.0,Other
123,Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,510.0,57.0,10.0,1.0,90.0,2610,126.0,8.0,9.0,44.0,2.0,8.0,14.0,Other
124,Sonic,3 Piece Super Crunch Chicken Strips,330,140.0,16.0,3.0,1.315934065934066,55.0,670,25.0,2.0,7.6482617586912065,22.0,1.0,2.0,1.0,Other
125,Sonic,4 Piece Super Crunch Chicken Strips,440,190.0,21.0,4.0,1.315934065934066,70.0,900,34.0,2.0,1.0,29.0,1.0,2.0,1.0,Other
126,Sonic,5 Piece Super Crunch Chicken Strips,550,240.0,26.0,5.0,1.315934065934066,90.0,1120,42.0,3.0,1.0,36.0,1.0,3.0,2.0,Other
127,Sonic,Traditional Ultimate Chicken Sandwich,730,350.0,39.0,8.0,1.315934065934066,90.0,1540,62.0,3.0,11.0,32.0,4.0,2.0,15.0,Other
128,Sonic,Ultimate Chicken Club,100,580.0,64.0,15.0,0.5,100.0,2070,65.0,4.0,12.0,39.0,15.0,8.0,30.0,Other
129,Sonic,"All Beef All-american Style Dog – 6""",370,160.0,18.0,7.0,1.315934065934066,40.0,1180,40.0,1.0,15.0,12.0,2.0,4.0,8.0,Other
130,Sonic,"All Beef Chicago Dog – 6""",430,180.0,20.0,7.0,1.315934065934066,40.0,2310,49.0,1.0,17.0,14.0,4.0,6.0,10.0,Other
131,Sonic,"All Beef Chili Cheese Coney – 6""",410,230.0,26.0,11.0,1.315934065934066,65.0,1140,30.0,2.0,4.0,17.0,10.0,2.0,20.0,Other
132,Sonic,"All Beef New York Dog – 6""",340,170.0,19.0,7.0,1.315934065934066,40.0,1250,30.0,3.0,4.0,13.0,2.0,10.0,8.0,Other
133,Sonic,"All Beef Regular Hot Dog – 6""",320,160.0,18.0,7.0,1.315934065934066,40.0,870,27.0,1.0,3.0,11.0,20.232142857142858,2.0,8.0,Other
134,Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,240.0,26.0,10.0,1.315934065934066,50.0,1410,46.0,2.0,7.0,15.0,1.0,3.0,8.0,Other
135,Sonic,Corn Dog,210,100.0,11.0,4.0,1.315934065934066,20.0,530,23.0,2.0,4.0,6.0,20.232142857142858,21.37408082034676,4.0,Other
