SL,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
136,Sonic,Footlong Quarter Pound Coney,830,490.0,54.0,22.0,1.0,85.0,1940,54.0,3.0,9.0,30.0,15.0,4.0,30.0,Other
137,Sonic,The Original Pretzel Dog,320,160.0,18.0,7.0,1.315934065934066,35.0,910,27.0,1.0,2.0,11.0,20.232142857142858,21.37408082034676,4.0,Other
138,Arbys,Arby's Melt,330,100.0,11.0,4.0,1.315934065934066,30.0,920,40.0,2.0,5.0,18.0,2.0,21.37408082034676,8.0,Other
139,Arbys,Arby-Q Sandwich,400,90.0,10.0,3.0,1.315934065934066,30.0,1230,58.0,3.0,23.0,18.0,4.0,10.0,10.0,Other
140,Arbys,Beef 'n Cheddar Classic,450,180.0,20.0,6.0,1.0,50.0,1280,45.0,2.0,9.0,23.0,2.0,2.0,15.0,Other
141,Arbys,Beef 'n Cheddar Mid,630,290.0,32.0,11.0,1.5,100.0,2100,48.0,2.0,9.0,39.0,2.0,2.0,15.0,Other
142,Arbys,Bourbon BBQ Brisket Sandwich,650,300.0,33.0,12.0,1.0,105.0,1460,51.0,2.0,15.0,38.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
143,Arbys,Bourbon BBQ Chicken Sandwich,690,280.0,31.0,9.0,1.315934065934066,90.0,1990,66.0,3.0,16.0,38.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
144,Arbys,Bourbon BBQ Steak Sandwich,690,280.0,31.0,9.0,1.315934065934066,90.0,1990,66.0,3.0,16.0,38.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
145,Arbys,Buttermilk Buffalo Chicken Sandwich,540,220.0,24.0,4.5,1.315934065934066,60.0,2110,53.0,2.0,6.0,29.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
146,Arbys,Buttermilk Chicken Bacon & Swiss,650,280.0,31.0,9.0,1.315934065934066,90.0,1750,56.0,2.0,9.0,39.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
147,Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,310.0,35.0,10.0,1.315934065934066,110.0,2000,53.0,1.0,7.0,41.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
148,Arbys,Buttermilk Crispy Chicken Sandwich,550,230.0,26.0,4.5,1.315934065934066,60.0,1480,52.0,2.0,6.0,29.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
149,Arbys,Classic French Dip & Swiss/Au Jus,540,210.0,23.0,11.0,1.0,85.0,2500,50.0,2.0,3.0,35.0,2.0,8.0,15.0,Other
150,Arbys,Classic Roast Beef,360,120.0,14.0,5.0,0.5,50.0,970,37.0,2.0,5.0,23.0,20.232142857142858,21.37408082034676,6.0,Other
151,Arbys,Double Roast Beef,510,210.0,24.0,9.0,1.5,95.0,1610,38.0,2.0,5.0,38.0,20.232142857142858,21.37408082034676,6.0,Other
152,Arbys,Fire-Roasted Philly Steak,640,290.0,32.0,11.0,0.5,105.0,1950,46.0,3.0,4.0,42.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
153,Arbys,Grand Turkey Club,480,220.0,24.0,7.0,1.315934065934066,65.0,1610,37.0,2.0,9.0,30.0,15.0,10.0,15.0,Other
154,Arbys,Greek Gyro,710,390.0,44.0,13.0,1.315934065934066,75.0,1360,55.0,4.0,6.0,23.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
155,Arbys,Half Pound Beef 'n Cheddar Sandwich,740,350.0,39.0,14.0,2.0,130.0,2530,48.0,2.0,9.0,49.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
156,Arbys,Half Pound French Dip & Swiss,750,330.0,36.0,17.0,2.0,150.0,3350,51.0,2.0,3.0,55.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
157,Arbys,Half Pound Roast Beef Sandwich,610,270.0,30.0,12.0,2.0,130.0,2040,38.0,2.0,5.0,48.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
158,Arbys,Ham & Swiss Melt,300,80.0,9.0,4.0,1.315934065934066,35.0,1030,37.0,2.0,6.0,18.0,2.0,21.37408082034676,15.0,Other
159,Arbys,Loaded Italian Sandwich,680,360.0,40.0,14.0,0.5,100.0,2270,49.0,3.0,7.0,32.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
160,Arbys,Pecan Chicken Salad Flatbread,710,410.0,46.0,7.0,0.5,65.0,980,53.0,4.0,9.0,22.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
161,Arbys,Pecan Chicken Salad Sandwich,840,400.0,44.0,6.0,0.5,75.0,1210,81.0,6.0,20.0,33.0,10.0,8.0,25.0,Other
162,Arbys,2 piece Prime-Cut Chicken Tenders,240,100.0,11.0,1.5,1.315934065934066,30.0,640,19.0,1.0,7.6482617586912065,16.0,20.232142857142858,21.37408082034676,2.0,Other
163,Arbys,3 piece Prime-Cut Chicken Tenders,360,150.0,17.0,2.5,1.315934065934066,45.0,950,28.0,2.0,7.6482617586912065,23.0,20.232142857142858,4.0,2.0,Other
164,Arbys,5 piece Prime-Cut Chicken Tenders,600,250.0,28.0,4.0,1.315934065934066,75.0,1590,47.0,3.0,7.6482617586912065,39.0,20.232142857142858,8.0,2.0,Other
165,Arbys,Reuben Sandwich,680,280.0,31.0,8.0,0.5,80.0,2420,62.0,4.0,5.0,37.0,6.0,20.0,35.0,Other
166,Arbys,Roast Beef Gyro,550,260.0,29.0,7.0,1.0,60.0,1290,48.0,3.0,5.0,24.0,10.0,15.0,10.0,Other
167,Arbys,Roast Turkey & Swiss Sandwich,710,260.0,28.0,7.0,1.315934065934066,65.0,1930,79.0,5.0,15.0,38.0,20.0,10.0,45.0,Other
168,Arbys,Roast Turkey & Swiss Wrap,520,240.0,27.0,9.0,1.315934065934066,65.0,1640,39.0,4.0,6.0,30.0,20.0,10.0,35.0,Other
169,Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,310.0,34.0,10.0,0.5,80.0,2420,79.0,5.0,16.0,45.0,20.0,10.0,45.0,Other
170,Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,310.0,34.0,11.0,0.5,85.0,2130,39.0,4.0,6.0,37.0,20.0,10.0,30.0,Other
171,Arbys,Smoke Mountain w/ Beef Short Rib,740,320.0,35.0,13.0,1.0,125.0,2050,62.0,4.0,17.0,43.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
172,Arbys,Smokehouse Beef Short Rib Sandwich,590,250.0,59.0,10.0,1.0,75.0,1510,59.0,4.0,14.0,26.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
173,Arbys,Smokehouse Brisket,600,310.0,35.0,12.0,1.0,110.0,1240,42.0,2.0,7.0,33.0,4.0,8.0,20.0,Other
174,Arbys,Super Roast Beef,430,160.0,17.0,5.0,1.0,45.0,1060,45.0,3.0,11.0,23.0,10.0,10.0,8.0,Other
175,Arbys,Three Cheese Steak Sandwich,650,320.0,36.0,15.0,1.0,115.0,1760,44.0,2.0,9.0,30.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
176,Arbys,Triple Decker Sandwich,1030,459.0,51.0,17.0,1.0,155.0,2940,83.0,5.0,19.0,62.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
177,Arbys,Turkey Avocado Club,730,252.0,28.0,6.0,1.315934065934066,65.0,2140,80.0,6.0,16.0,41.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
178,Arbys,Turkey Gyro,470,180.0,20.0,3.5,1.315934065934066,45.0,1520,48.0,3.0,5.0,25.0,10.0,15.0,10.0,Other
179,Arbys,Ultimate BLT,980,495.0,55.0,14.0,1.315934065934066,85.0,2130,80.0,6.0,19.0,43.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
180,Arbys,Buffalo Chicken Slider,290,120.0,13.0,2.0,1.315934065934066,20.0,860,31.0,2.0,2.0,12.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
181,Arbys,Chicken Tender 'n Cheese Slider,290,110.0,12.0,3.5,1.315934065934066,25.0,720,30.0,1.0,1.0,15.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
182,Arbys,Corned Beef 'n Cheese Slider,220,80.0,9.0,3.5,1.315934065934066,30.0,890,21.0,1.0,1.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
183,Arbys,Ham 'n Cheese Slider,210,70.0,8.0,3.0,1.315934065934066,25.0,780,21.0,1.0,2.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
184,Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,90.0,11.0,4.5,1.315934065934066,30.0,670,21.0,1.0,1.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
185,Arbys,Pizza Slider,300,150.0,17.0,6.0,1.315934065934066,35.0,930,23.0,1.0,2.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
186,Arbys,Roast Beef 'n Cheese Slider,240,90.0,11.0,4.5,1.315934065934066,30.0,670,21.0,1.0,1.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
187,Arbys,Turkey 'n Cheese Slider,200,60.0,7.0,2.5,1.315934065934066,25.0,760,21.0,1.0,2.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
188,Arbys,Chopped Side Salad,70,45.0,5.0,2.5,1.315934065934066,15.0,100,4.0,1.0,2.0,5.0,35.0,10.0,10.0,Other
189,Arbys,Crispy Chicken Farmhouse Salad,430,220.0,24.0,8.0,1.315934065934066,65.0,1000,26.0,4.0,4.0,28.0,60.0,20.0,25.0,Other
190,Arbys,Greek Gyro Salad,420,340.0,37.0,9.0,1.315934065934066,55.0,700,11.0,2.0,4.0,10.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
191,Arbys,Roast Turkey Farmhouse Salad,230,120.0,13.0,7.0,1.315934065934066,55.0,870,8.0,2.0,5.0,22.0,60.0,20.0,25.0,Other
192,Arbys,Super Greek Salad,720,480.0,53.0,15.0,1.315934065934066,85.0,1310,39.0,5.0,7.0,22.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
193,Burger King,American Brewhouse King,1550,1134.0,126.0,47.0,8.0,805.0,1820,21.0,3.0,7.0,134.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
194,Burger King,Bacon & Swiss Sourdough King,1000,585.0,65.0,24.0,3.0,200.0,1320,48.0,2.0,8.0,56.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
195,Burger King,Bacon Cheeseburger,330,140.0,16.0,7.0,1.315934065934066,55.0,830,32.0,1.0,7.0,18.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
196,Burger King,Bacon Cheeseburger Deluxe,290,120.0,14.0,6.0,0.5,40.0,720,28.0,1.0,7.0,12.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
197,Burger King,Bacon King,1040,630.0,48.0,28.0,2.5,220.0,1900,48.0,1.0,10.0,57.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
198,Burger King,Bacon King Jr,730,351.0,39.0,9.0,1.315934065934066,90.0,1930,63.0,4.238289205702648,16.0,32.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
199,Burger King,BBQ Bacon King,1100,675.0,75.0,29.0,3.0,220.0,1850,51.0,,13.0,57.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
200,Burger King,Cheeseburger,300,130.0,14.0,6.0,1.315934065934066,45.0,710,28.0,1.0,6.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
201,Burger King,Double Bacon Cheeseburger,520,280.0,31.0,14.0,1.0,105.0,1180,33.0,1.0,8.0,31.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
202,Burger King,Double Cheeseburger,450,230.0,26.0,12.0,1.0,95.0,960,29.0,1.0,6.0,26.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
203,Burger King,Double Hamburger,360,160.0,18.0,8.0,1.315934065934066,70.0,520,28.0,1.0,6.0,22.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
204,Burger King,Double Quarter Pound King,900,486.0,54.0,25.0,3.0,210.0,1740,50.0,2.0,11.0,56.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
205,Burger King,Extra Long Cheeseburger,580,300.0,33.0,13.0,1.5,85.0,1030,45.0,2.0,9.0,26.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
206,Burger King,Farmhouse King,1220,720.0,80.0,28.0,3.0,335.0,2050,62.0,,15.0,,18.857142857142858,20.17049180327869,24.852459016393443,Other
207,Burger King,Hamburger,260,90.0,10.0,4.0,1.315934065934066,35.0,490,28.0,1.0,6.0,13.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
208,Burger King,Homestyle Cheeseburger,550,250.0,27.0,12.0,1.5,95.0,1140,48.0,2.0,10.0,30.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
209,Burger King,Jalapeno King Sandwich,990,585.0,65.0,24.0,3.0,205.0,1550,46.0,2.0,7.0,55.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
210,Burger King,Mushroom & Swiss King,940,567.0,63.0,21.0,2.5,175.0,1380,45.0,,8.0,49.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
211,Burger King,Rodeo Burger,310,110.0,13.0,4.0,0.5,25.0,450,38.0,1.0,9.0,9.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
212,Burger King,Rodeo King,1250,738.0,82.0,31.0,3.5,230.0,2270,69.0,3.0,14.0,60.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
213,Burger King,Sourdough King Single,730,387.0,43.0,16.0,1.5,125.0,1570,52.0,2.0,12.0,35.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
214,Burger King,Sourdough King Double,970,549.0,61.0,24.0,3.0,205.0,1640,52.0,2.0,12.0,55.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
215,Burger King,Steakhouse King,1100,666.0,74.0,24.0,1.0,180.0,1620,59.0,,13.0,50.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
216,Burger King,Bacon & Cheese Whopper,770,432.0,48.0,16.0,2.0,95.0,1360,47.0,2.0,9.0,29.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
217,Burger King,DOUBLE WHOPPER w/o Cheese,900,510.0,57.0,19.0,2.0,140.0,1050,51.0,3.0,11.0,47.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
218,Burger King,DOUBLE WHOPPER w/ Cheese,990,580.0,65.0,24.0,2.0,160.0,1480,53.0,3.0,11.0,52.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
219,Burger King,WHOPPER w/o Cheese,660,360.0,40.0,12.0,1.5,90.0,980,49.0,2.0,11.0,28.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
220,Burger King,WHOPPER w/ Cheese,760,430.0,47.0,16.0,1.0,100.0,1410,53.0,3.0,11.0,33.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
221,Burger King,WHOPPER JR. w/o Cheese,340,170.0,19.0,5.0,1.315934065934066,40.0,510,28.0,2.0,6.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
222,Burger King,WHOPPER JR. w/ Cheese,380,210.0,23.0,8.0,1.0,55.0,730,29.0,2.0,6.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
223,Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,360.0,40.0,12.0,1.315934065934066,150.0,1540,18.0,3.0,6.0,42.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
224,Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,450.0,50.0,13.0,1.315934065934066,120.0,1960,32.0,5.0,7.0,36.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
225,Burger King,Chicken BLT Salad w/ Grilled Chicken,550,330.0,37.0,10.0,1.315934065934066,115.0,1640,17.0,3.0,5.0,36.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
226,Burger King,Chicken BLT Salad w/ Crispy Chicken,690,430.0,48.0,12.0,1.0,100.0,1750,31.0,4.0,8.0,35.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
227,Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,290.0,32.0,5.0,1.315934065934066,95.0,1640,26.0,3.0,6.0,35.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
228,Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,380.0,43.0,7.0,1.315934065934066,80.0,1760,40.0,5.0,8.0,34.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
229,Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,270.0,30.0,7.0,1.315934065934066,90.0,980,40.0,4.0,34.0,29.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
230,Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,370.0,41.0,9.0,1.315934065934066,80.0,1090,54.0,5.0,37.0,28.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
231,Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,120.0,14.0,6.0,1.315934065934066,115.0,650,16.0,2.0,4.0,36.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
232,Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,220.0,24.0,7.0,1.315934065934066,85.0,1070,30.0,5.0,6.0,29.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
233,Burger King,Side Caesar Salad with dressing,220,180.0,20.0,4.0,1.315934065934066,10.0,540,7.0,2.0,3.0,6.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
234,Burger King,Side Garden Salad and Avocado Ranch Dressing,230,190.0,21.0,5.0,1.315934065934066,30.0,520,7.0,2.0,3.0,5.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
235,Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,468.0,52.0,14.0,0.5,110.0,2100,57.0,,9.0,34.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
236,Burger King,BBQ Bacon Crispy Chicken Sandwich,440,243.0,27.0,4.5,1.315934065934066,15.0,630,44.0,,13.0,7.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
237,Burger King,Big Fish Sandwich,530,250.0,27.0,4.5,1.315934065934066,30.0,1360,54.0,2.0,7.0,17.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
238,Burger King,BK VEGGIE Burger,410,150.0,16.0,3.0,1.315934065934066,5.0,1030,44.0,7.0,8.0,22.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
239,Burger King,Chicken Burger,480,220.0,25.0,2.5,1.315934065934066,5.0,1160,42.0,2.0,10.0,22.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
240,Burger King,Chicken Cordon Bleu Sandwich,730,351.0,39.0,9.0,1.315934065934066,90.0,1930,63.0,,16.0,32.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
241,Burger King,Chicken Fries,290,150.0,17.0,3.0,1.5,40.0,780,18.0,1.0,1.0,16.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
242,Burger King,4 Piece Chicken Nuggets,190,100.0,11.0,2.0,1.315934065934066,25.0,310,10.0,1.0,7.6482617586912065,10.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
243,Burger King,6 Piece Chicken Nuggets,290,150.0,17.0,3.0,1.315934065934066,40.0,460,15.0,1.0,7.6482617586912065,15.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
244,Burger King,20 Piece Chicken Nuggets,950,500.0,55.0,11.0,1.315934065934066,130.0,1530,50.0,5.0,7.6482617586912065,51.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
245,Burger King,Chicken Nuggets (10pc),470,260.0,29.0,5.0,1.315934065934066,50.0,890,34.0,5.0,7.6482617586912065,21.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
246,Burger King,Chicken Parmesan Sandwich,570,225.0,25.0,8.0,1.315934065934066,70.0,1340,57.0,,9.0,32.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
247,Burger King,Crispy Buffalo Chicken Melt,580,252.0,28.0,8.0,0.5,70.0,2310,56.0,,8.0,30.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
248,Burger King,Crispy Chicken Jr.,430,250.0,28.0,4.5,1.315934065934066,30.0,760,34.0,2.0,4.0,12.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
249,Burger King,Crispy Chicken Sandwich,670,370.0,41.0,7.0,0.5,60.0,1070,54.0,2.0,7.0,23.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
250,Burger King,Grilled Chicken Sandwich,470,170.0,19.0,3.5,1.315934065934066,85.0,850,39.0,2.0,6.0,37.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
251,Burger King,Grilled Chili Cheese Dog,330,170.0,19.0,8.0,1.0,40.0,980,28.0,2.0,5.0,14.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
252,Burger King,Grilled Hot Dog,310,140.0,16.0,6.0,1.0,30.0,960,32.0,2.0,10.0,11.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
253,Burger King,Jalapeno Chicken Fries,300,160.0,18.0,3.0,1.315934065934066,40.0,950,19.0,1.0,1.0,15.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
254,Burger King,Original Chicken Sandwich,630,350.0,39.0,7.0,1.0,65.0,1390,46.0,3.0,4.0,24.0,18.857142857142858,20.17049180327869,24.852459016393443,Other
